דרום,מושב פארן שיווק ורקות ופירות
דרום,ניהול ואחזקות ערדום
דרום,סיטונאות תנובת הדרום
דרום,עלי קטיף מ.א.ת.ח שיווק ירק
דרום,פיריון פרי וברכה
דרום,קבוץ עלומים
דרום,שותפות אחים כהן- שיקמים 
דרום,שותפות ה.א.ד.ס ירקות
דרום,שיווק העשור ירקות הזהב
דרום,תנובת הנגב
דרום,תעשיות תוצרת חקלאית אביטן בני
דרום,אוהד שיווק וסחר 
דרום,אפרים משה בע"מ
דרום,גזר בגלבוע אגודה שיתופית חקלאית
דרום,ד.חי שיווק תוצרת חקלאית
דרום,כהן שגיא
דרום,מפעלי יופ"י אגש"ח 
דרום,שוק פייסל הגדול בסיטונאות ירקות ופירות
דרום,אביב יבולים
דרום,אברהם דהן סיטונאות פירות וירקות 
דרום,אחים חזן
דרום,בכורי -הפרי
דרום,בננות הגליל שיווק 
דרום,האחים משה ועזרא לוי
דרום,טל שיווק פירות וירקות
דרום,ירק הגליל
דרום,מ.ר מיטב התוצרת
דרום,מחופית
דרום,מיטב הפרי והירק
דרום,מירב הירקות
דרום,ע.שרביט שיווק
דרום,פרי וירק שני
דרום,ש.א.י.מ סיטונאות פירות וירקות
דרום,שמשון דהן סיטונאות פירות וירקות
שוק ירושלים,א.א גבאי בע"מ סיטונאות פירות וירקות
שוק ירושלים,אחים חיים ויעקב דדו 
שוק ירושלים,אחים פשה סיטונאות פירות וירקות
שוק ירושלים,ביכורי ירושלים שיווק
שוק ירושלים,גבאי עזרא
שוק ירושלים,האחים אגא (א.מ) שיווק תוצרת חקלאית
שוק ירושלים,לוי צדיק ובניו 
שוק ירושלים,פאר- לי
שוק ירושלים,פרי וירק בע"מ
שוק ירושלים,רביבים עלי דשא
שוק ירושלים,רוי רום שיווק פירות וירקות
שוק ירושלים,רוני מזרחי שיווק הירק הטרי
שוק נתניה,בוקרה שיווק וסחר
שוק נתניה,האחים תוינה
שוק נתניה,ציון שללי
שוק פתח תקווה,זכריה יצחק אחזקות
שוק פתח תקווה,צ.ג הפרי המובחר
שוק פתח תקווה,צורי ויצחק פירות וירקות
שוק פתח תקווה,שפע גנ אחזקות
שוק צריפין,א.מ עבדי תוצרת חקלאית
שוק צריפין,אבישי שיווק חקלאי (אלג'ם)
שוק צריפין,אברהם שיווק פירות וירקות
שוק צריפין,אחים כבביה שיווק פירות וירקות
שוק צריפין,אחים שבע את עבדי שיווק תוצרת חקלאית
שוק צריפין,אמצע השוק 
שוק צריפין,אריות שיווק פירות וירקות
שוק צריפין,בוסתן פרדס
שוק צריפין,האחים זאדה מאיר
שוק צריפין,הדרים י.נ (1994)
שוק צריפין,חברת יוסף אופנהיימר (1986)
שוק צריפין,חנום ח.י. חברה לשיווק פירות וירקות
שוק צריפין,טל פרי אבנר את אורי (1994)
שוק צריפין,י. פסטרנק ושות' תוצרת חקלאית
שוק צריפין,יבולי ברכה- חיים מועלם
שוק צריפין,יבולי ישראל- עמרם את קאלו
שוק צריפין,יבולי שלמה
שוק צריפין,יבולי שמואל (סמי) לזר
שוק צריפין,לאון ניסים מג'ר שיווק ומסחר
שוק צריפין,נ.ע.ם. שיווק פירות וירקות
שוק צריפין,נווה ירק שיווק תוצרת חקלאית
שוק צריפין,סלוקי בע"מ
שוק צריפין,פרי בשפע בע"מ שיווק פירות
שוק צריפין,צ.ח. שיווק פירות וירקות
שוק צריפין,ציון ליאון שיווק פירות וירקות
שוק צריפין,ש. את. י. גון בע"מ
שוק צריפין,ש.ב.מ. חקלאות
שוק צריפין,שלמה ודויד לזר
שוק צריפין,שפע בפרי ארצנו
שוק צריפין,תנובת הבירה י.א.
שוק צריפין,תנובת הערבה
שוק רחובות,אמירה אורי
שוק רחובות,ויצמן יצחק
שוק רחובות,טיטנצ'י אילן פירות וירקות
שוק רחובות,יאמין יגאל
שוק רחובות,כחלון יעקב- פרי וירק
שוק רחובות,מחלוף יצחק
שוק רחובות,מ.מ. שיווק ירקות
שוק רחובות,מצליח חזן סיטונאי פירות וירקות
שוק רחובות,פרטוש מרדכי
שוק רחובות,קסנטיני שיווק סיטונאי  (1991)
שוק רחובות,פירות אבו ג'בל בע"מ, שיווק פירות, מגדל שמס
שוק רחובות,ביכורי השיקמה
שוק רחובות,ביכורי השדה דרום שיווק תוצרת חקלאית
שוק רחובות,ביכורי שדות ישראל
שוק רחובות,חצילי נוימן
שוק רחובות,מוריס יעקב
שוק רחובות,פירות אביב
שוק רחובות,שפיט (1991)
