date,englishName,jewishNames,minPrice,maxPrice
29/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
29/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
29/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
29/12/2014,Riverside Onion,בצל ריברסייד,2.20,
29/12/2014,Red onion,בצל אדום,2.60,
29/12/2014,Garlic,שום,14.00,
29/12/2014,California pepper,פלפל קליפורני,3.50,
29/12/2014,Bright pepper,פלפל בהיר,3.00,
29/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
29/12/2014,Orange pepper,פלפל כתום,4.40,4.80
29/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
29/12/2014,Hot pepper,פלפל חריף,2.60,
29/12/2014,Greenhouse Eggplant,חצילים חממה,3.00,
29/12/2014,Greenhouse cucumbers,מלפפונים חממה,3.50,
29/12/2014,White cabbage,כרוב לבן,1.30,
29/12/2014,Red cabbage,כרוב אדום,2.40,
29/12/2014,Fennel,שומר,2.40,
29/12/2014,Cauliflower,כרובית,2.60,3.00
29/12/2014,courgette excellent quality,קישואים איכות מעולה,3.20,
29/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
29/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
29/12/2014,Orange Mellon,מילון כתום,4.50,5.00
29/12/2014,Radish,צנון,2.40,
29/12/2014,Small Radish packaging,צנונית באריזה,3.20,
29/12/2014,Beetroot,סלק,2.40,
29/12/2014,Turnip Graet quality,לפת איכות מעולה,3.00,
29/12/2014,Pumpkin,דלעת,2.80,
29/12/2014,Butternut,דלורית,3.20,
29/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
29/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
29/12/2014,Kohlrabi,קולורבי,3.00,
29/12/2014,Green beans,שעועית ירוקה,12.00,
29/12/2014,Arum,לוף,5.00,5.40
29/12/2014,Green onion,בצל ירוק,4.20,
29/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.40,5.80
28/12/2014,Greenhouse tomatoes,עגבניות חממה,2.20,2.60
28/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
28/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.40,
28/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
28/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
28/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
28/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
28/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
28/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
28/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
28/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
28/12/2014,Riverside Onion,בצל ריברסייד,2.00,
28/12/2014,Red onion,בצל אדום,2.60,
28/12/2014,Garlic,שום,14.00,
28/12/2014,California pepper,פלפל קליפורני,3.40,
28/12/2014,Bright pepper,פלפל בהיר,3.00,
28/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
28/12/2014,Orange pepper,פלפל כתום,4.40,4.80
28/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
28/12/2014,Hot pepper,פלפל חריף,2.60,
28/12/2014,Greenhouse Eggplant,חצילים חממה,3.00,
28/12/2014,Greenhouse cucumbers,מלפפונים חממה,3.60,
28/12/2014,White cabbage,כרוב לבן,1.30,
28/12/2014,Red cabbage,כרוב אדום,2.40,
28/12/2014,Fennel,שומר,2.40,
28/12/2014,Cauliflower,כרובית,2.40,2.80
28/12/2014,courgette excellent quality,קישואים איכות מעולה,3.60,
28/12/2014,Lettuce 8 units,חסה 8 יחידות,22.00,24.00
28/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
28/12/2014,Orange Mellon,מילון כתום,4.50,5.00
28/12/2014,Radish,צנון,2.40,
28/12/2014,Small Radish packaging,צנונית באריזה,3.20,
28/12/2014,Beetroot,סלק,2.40,
28/12/2014,Turnip Graet quality,לפת איכות מעולה,3.00,
28/12/2014,Pumpkin,דלעת,2.80,
28/12/2014,Butternut,דלורית,3.20,
28/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
28/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
28/12/2014,Kohlrabi,קולורבי,3.00,
28/12/2014,Green beans,שעועית ירוקה,12.00,
28/12/2014,Arum,לוף,5.00,5.40
28/12/2014,Green onion,בצל ירוק,4.20,
28/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.40,5.80
25/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
25/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
25/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.00,
25/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
25/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
25/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
25/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
25/12/2014,Retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
25/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
25/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
25/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
25/12/2014,Riverside Onion,בצל ריברסייד,2.00,
25/12/2014,Red onion,בצל אדום,2.60,
25/12/2014,Garlic,שום,14.00,
25/12/2014,California pepper,פלפל קליפורני,3.00,
25/12/2014,Bright pepper,פלפל בהיר,3.00,
25/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
25/12/2014,Orange pepper,פלפל כתום,4.60,5.00
25/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
25/12/2014,Hot pepper,פלפל חריף,2.60,
25/12/2014,Greenhouse Eggplant,חצילים חממה,3.00,
25/12/2014,Greenhouse cucumbers,מלפפונים חממה,3.80,
25/12/2014,White cabbage,כרוב לבן,1.30,
25/12/2014,Red cabbage,כרוב אדום,2.40,
25/12/2014,Fennel,שומר,2.40,
25/12/2014,Cauliflower,כרובית,2.20,2.60
25/12/2014,courgette excellent quality,קישואים איכות מעולה,4.00,
25/12/2014,Lettuce 8 units,חסה 8 יחידות,22.00,24.00
25/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
25/12/2014,Orange Mellon,מילון כתום,4.50,5.00
25/12/2014,Radish,צנון,2.40,
25/12/2014,Small Radish packaging,צנונית באריזה,3.20,
25/12/2014,Beetroot,סלק,2.40,
25/12/2014,Turnip Graet quality,לפת איכות מעולה,3.00,
25/12/2014,Pumpkin,דלעת,2.80,
25/12/2014,Butternut,דלורית,3.20,
25/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
25/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
25/12/2014,Kohlrabi,קולורבי,3.20,
25/12/2014,Green beans,שעועית ירוקה,12.00,
25/12/2014,Arum,לוף,5.00,5.40
25/12/2014,Green onion,בצל ירוק,4.20,
25/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.60,6.00
24/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
24/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
24/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.00,
24/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
24/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
24/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
24/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
24/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
24/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
24/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
24/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
24/12/2014,Riverside Onion,בצל ריברסייד,1.80,
24/12/2014,Red onion,בצל אדום,2.60,
24/12/2014,Garlic,שום,14.00,
24/12/2014,California pepper,פלפל קליפורני,3.00,
24/12/2014,Bright pepper,פלפל בהיר,3.00,
24/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
24/12/2014,Orange pepper,פלפל כתום,4.60,5.00
24/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
24/12/2014,Hot pepper,פלפל חריף,2.60,
24/12/2014,Greenhouse Eggplant,חצילים חממה,2.70,
24/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.40,
24/12/2014,White cabbage,כרוב לבן,1.30,
24/12/2014,Red cabbage,כרוב אדום,2.40,
24/12/2014,Fennel,שומר,2.20,
24/12/2014,Cauliflower,כרובית,2.00,2.40
24/12/2014,courgette excellent quality,קישואים איכות מעולה,4.80,
24/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
24/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
24/12/2014,Orange Mellon,מילון כתום,4.50,5.00
24/12/2014,Radish,צנון,2.60,
24/12/2014,Small Radish packaging,צנונית באריזה,3.60,
24/12/2014,Beetroot,סלק,2.40,
24/12/2014,Turnip Graet quality,לפת איכות מעולה,3.50,
24/12/2014,Pumpkin,דלעת,2.80,
24/12/2014,Butternut,דלורית,3.20,
24/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
24/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
24/12/2014,Kohlrabi,קולורבי,3.20,
24/12/2014,Green beans,שעועית ירוקה,12.00,
24/12/2014,Arum,לוף,4.80,5.20
24/12/2014,Green onion,בצל ירוק,4.20,
24/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.60,6.00
23/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
23/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
23/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.40,
23/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
23/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
23/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
23/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
23/12/2014,Retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
23/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
23/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
23/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
23/12/2014,Riverside Onion,בצל ריברסייד,2.00,
23/12/2014,Red onion,בצל אדום,2.60,
23/12/2014,Garlic,שום,14.00,
23/12/2014,California pepper,פלפל קליפורני,3.00,
23/12/2014,Bright pepper,פלפל בהיר,3.00,
23/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
23/12/2014,Orange pepper,פלפל כתום,4.60,5.00
23/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
23/12/2014,Hot pepper,פלפל חריף,2.80,
23/12/2014,Greenhouse Eggplant,חצילים חממה,2.40,
23/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.80,
23/12/2014,White cabbage,כרוב לבן,1.30,
23/12/2014,Red cabbage,כרוב אדום,2.40,
23/12/2014,Fennel,שומר,2.60,
23/12/2014,Cauliflower,כרובית,2.00,2.40
23/12/2014,courgette excellent quality,קישואים איכות מעולה,5.20,
23/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
23/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
23/12/2014,Orange Mellon,מילון כתום,4.50,5.00
23/12/2014,Radish,צנון,2.60,
23/12/2014,Small Radish packaging,צנונית באריזה,3.60,
23/12/2014,Beetroot,סלק,2.40,
23/12/2014,Turnip Graet quality,לפת איכות מעולה,3.50,
23/12/2014,Pumpkin,דלעת,3.00,
23/12/2014,Butternut,דלורית,3.20,
23/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
23/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
23/12/2014,Kohlrabi,קולורבי,3.20,
23/12/2014,Green beans,שעועית ירוקה,12.00,
23/12/2014,Arum,לוף,4.50,5.00
23/12/2014,Green onion,בצל ירוק,4.20,
23/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.60,6.00
22/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
22/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
22/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.40,
22/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
22/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
22/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
22/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
22/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
22/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
22/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
22/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
22/12/2014,Riverside Onion,בצל ריברסייד,2.00,
22/12/2014,Red onion,בצל אדום,2.60,
22/12/2014,Garlic,שום,14.00,
22/12/2014,California pepper,פלפל קליפורני,3.00,
22/12/2014,Bright pepper,פלפל בהיר,3.00,
22/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.20,4.60
22/12/2014,Orange pepper,פלפל כתום,4.60,5.00
22/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
22/12/2014,Hot pepper,פלפל חריף,2.80,
22/12/2014,Greenhouse Eggplant,חצילים חממה,2.40,
22/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.80,
22/12/2014,White cabbage,כרוב לבן,1.30,
22/12/2014,Red cabbage,כרוב אדום,2.40,
22/12/2014,Fennel,שומר,2.60,
22/12/2014,Cauliflower,כרובית,2.00,2.40
22/12/2014,courgette excellent quality,קישואים איכות מעולה,5.00,
22/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
22/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
22/12/2014,Orange Mellon,מילון כתום,4.50,5.00
22/12/2014,Radish,צנון,2.60,
22/12/2014,Small Radish packaging,צנונית באריזה,3.60,
22/12/2014,Beetroot,סלק,2.40,
22/12/2014,Turnip Graet quality,לפת איכות מעולה,3.50,
22/12/2014,Pumpkin,דלעת,3.00,
22/12/2014,Butternut,דלורית,3.20,
22/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
22/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
22/12/2014,Kohlrabi,קולורבי,3.00,
22/12/2014,Green beans,שעועית ירוקה,12.00,
22/12/2014,Arum,לוף,4.50,5.00
22/12/2014,Green onion,בצל ירוק,4.20,
22/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.60,6.00
22/12/2014,Artichoke,ארטישוק,9.50,
21/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
21/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
21/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.60,
21/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
21/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
21/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
21/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
21/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
21/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
21/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
21/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
21/12/2014,Riverside Onion,בצל ריברסייד,2.00,
21/12/2014,Red onion,בצל אדום,2.60,
21/12/2014,Garlic,שום,14.00,
21/12/2014,California pepper,פלפל קליפורני,3.00,
21/12/2014,Bright pepper,פלפל בהיר,3.00,
21/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.20,4.60
21/12/2014,Orange pepper,פלפל כתום,4.60,5.00
21/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
21/12/2014,Hot pepper,פלפל חריף,2.80,
21/12/2014,Greenhouse Eggplant,חצילים חממה,2.20,
21/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.30,
21/12/2014,White cabbage,כרוב לבן,1.40,
21/12/2014,Red cabbage,כרוב אדום,2.20,
21/12/2014,Fennel,שומר,2.40,
21/12/2014,Cauliflower,כרובית,2.00,2.40
21/12/2014,courgette excellent quality,קישואים איכות מעולה,5.50,
21/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
21/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
21/12/2014,Orange Mellon,מילון כתום,4.50,5.00
21/12/2014,Radish,צנון,2.60,
21/12/2014,Small Radish packaging,צנונית באריזה,3.60,
21/12/2014,Beetroot,סלק,2.40,
21/12/2014,Turnip Graet quality,לפת איכות מעולה,3.50,
21/12/2014,Pumpkin,דלעת,3.00,
21/12/2014,Butternut,דלורית,3.20,
21/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
21/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
21/12/2014,Kohlrabi,קולורבי,3.00,
21/12/2014,Green beans,שעועית ירוקה,12.00,
21/12/2014,Arum,לוף,4.50,5.00
21/12/2014,Green onion,בצל ירוק,4.20,
21/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.60,6.00
21/12/2014,Artichoke,ארטישוק,10.00,
18/12/2014,Greenhouse tomatoes,עגבניות חממה,2.00,2.40
18/12/2014,Cluster tomatoes,עגבניות באשכולות,2.60,3.00
18/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.60,
18/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
18/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
18/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
18/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
18/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
18/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
18/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
18/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
18/12/2014,Riverside Onion,בצל ריברסייד,2.00,
18/12/2014,Red onion,בצל אדום,2.60,
18/12/2014,Garlic,שום,14.00,
18/12/2014,California pepper,פלפל קליפורני,3.00,
18/12/2014,Bright pepper,פלפל בהיר,3.00,
18/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.20,4.60
18/12/2014,Orange pepper,פלפל כתום,5.00,5.40
18/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
18/12/2014,Hot pepper,פלפל חריף,2.80,
18/12/2014,Greenhouse Eggplant,חצילים חממה,2.20,
18/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.50,
18/12/2014,White cabbage,כרוב לבן,1.40,
18/12/2014,Red cabbage,כרוב אדום,2.20,
18/12/2014,Fennel,שומר,2.40,
18/12/2014,Cauliflower,כרובית,2.00,2.40
18/12/2014,courgette excellent quality,קישואים איכות מעולה,6.50,
18/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
18/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
18/12/2014,Orange Mellon,מילון כתום,4.50,5.00
18/12/2014,Radish,צנון,2.40,
18/12/2014,Small Radish packaging,צנונית באריזה,3.60,
18/12/2014,Beetroot,סלק,2.00,
18/12/2014,Turnip Graet quality,לפת איכות מעולה,3.50,
18/12/2014,Pumpkin,דלעת,3.00,
18/12/2014,Butternut,דלורית,3.20,
18/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
18/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
